NAME,ADDRESS,LOCATION,PLACE,POST,DISTRICT,PIN,PHONE,STATE,RMS,FROM DATE,DURATION(M),CLOSING DATE,STATUS,INTRODUCER NAME,INTRODUCER VEDAVAHINI,INTRODUCER PHONE NO.,PAYMENT MODE
Grace Hall,Address 29,Location 16,Place 15,Post 9,District 9,104983,8698394236,State C,RMS 1,28-07-2026,20,29-06-2023,Inactive,Jack Taylor,Vedavahini 4,9512622915,Credit Card
Eva Green,Address 69,Location 5,Place 39,Post 6,District 4,145767,8582526943,State D,RMS 1,11-04-2028,13,17-05-2020,Active,Mia Martinez,Vedavahini 4,7911227208,Net Banking
Hannah Adams,Address 48,Location 11,Place 8,Post 9,District 8,156852,9248729252,State D,RMS 1,05-03-2028,4,16-11-2024,Inactive,Isaac Scott,Vedavahini 2,7497641047,Cash
Olivia Anderson,Address 73,Location 14,Place 44,Post 1,District 6,179536,7839322890,State B,RMS 1,02-06-2024,40,17-11-2023,Pending,Frank White,Vedavahini 2,8220922815,Cash
Frank White,Address 20,Location 12,Place 33,Post 8,District 4,214638,6978699966,State E,RMS 1,12-09-2027,55,22-01-2023,Pending,Kelly Miller,Vedavahini 2,7817761052,Credit Card
David Wilson,Address 19,Location 13,Place 5,Post 8,District 5,226421,8717933391,State E,RMS 1,11-06-2024,20,19-07-2024,Pending,John Doe,Vedavahini 4,9523685431,Net Banking
Alice Johnson,Address 90,Location 13,Place 39,Post 9,District 8,229918,9204689794,State A,RMS 1,28-08-2022,49,24-04-2028,Inactive,Frank White,Vedavahini 2,9687756189,Credit Card
Isaac Scott,Address 91,Location 18,Place 3,Post 2,District 3,267803,9672749101,State B,RMS 1,28-12-2026,37,11-06-2027,Active,Olivia Anderson,Vedavahini 3,6946695891,Cash
Hannah Adams,Address 7,Location 6,Place 50,Post 6,District 2,274619,9915520146,State B,RMS 1,17-01-2025,57,12-02-2027,Active,Eva Green,Vedavahini 3,7372373521,Net Banking
Charlie Davis,Address 5,Location 7,Place 36,Post 10,District 7,311536,7739398347,State B,RMS 1,19-02-2023,28,27-12-2023,Pending,Bob Brown,Vedavahini 3,9163803342,Cash
Charlie Davis,Address 60,Location 12,Place 30,Post 10,District 8,339085,9140207607,State C,RMS 1,15-11-2023,16,07-01-2026,Active,Isaac Scott,Vedavahini 4,8190290387,Credit Card
Eva Green,Address 40,Location 15,Place 6,Post 3,District 7,386685,7434894208,State A,RMS 1,14-11-2023,1,29-01-2020,Inactive,Isaac Scott,Vedavahini 5,8003923559,Net Banking
Liam Thompson,Address 28,Location 17,Place 37,Post 1,District 6,389866,6839116741,State C,RMS 1,09-02-2020,11,19-05-2020,Pending,Isaac Scott,Vedavahini 1,6241774268,Net Banking
Mia Martinez,Address 72,Location 10,Place 8,Post 10,District 9,452952,6027926179,State C,RMS 1,20-07-2027,10,23-06-2023,Active,Quinn Lewis,Vedavahini 4,7876403512,Debit Card
Olivia Anderson,Address 54,Location 14,Place 19,Post 8,District 8,466431,6866905371,State B,RMS 1,08-04-2020,45,31-08-2027,Active,Liam Thompson,Vedavahini 2,6232513371,Credit Card
Kelly Miller,Address 57,Location 9,Place 2,Post 2,District 5,550154,6821260063,State C,RMS 1,24-07-2023,28,04-08-2028,Inactive,Jack Taylor,Vedavahini 5,9214221607,Cash
Jane Smith,Address 28,Location 7,Place 34,Post 8,District 1,551061,8417542219,State C,RMS 1,29-08-2026,17,20-05-2020,Active,Jack Taylor,Vedavahini 2,7052186571,Credit Card
Jack Taylor,Address 61,Location 3,Place 18,Post 10,District 6,562885,7076828780,State D,RMS 1,27-05-2020,8,05-10-2023,Inactive,Alice Johnson,Vedavahini 2,9308590316,Debit Card
Jack Taylor,Address 85,Location 8,Place 37,Post 1,District 4,574361,6628113559,State E,RMS 1,20-02-2022,3,30-06-2025,Inactive,Jack Taylor,Vedavahini 4,7412417472,Debit Card
Rachel Clark,Address 30,Location 6,Place 34,Post 9,District 9,585342,8427268221,State E,RMS 1,14-05-2028,57,12-09-2020,Active,Rachel Clark,Vedavahini 3,7041416668,Net Banking
Quinn Lewis,Address 91,Location 13,Place 1,Post 2,District 8,598054,6615742678,State C,RMS 1,06-07-2024,45,06-03-2024,Pending,Kelly Miller,Vedavahini 4,8757248787,Net Banking
Grace Hall,Address 29,Location 3,Place 36,Post 8,District 1,622076,7292872057,State B,RMS 1,14-12-2027,16,16-09-2027,Pending,John Doe,Vedavahini 2,7929330752,Credit Card
Charlie Davis,Address 71,Location 14,Place 18,Post 6,District 10,688309,8372179907,State D,RMS 1,11-01-2022,12,25-02-2025,Pending,Charlie Davis,Vedavahini 4,9735296300,Credit Card
Jane Smith,Address 82,Location 2,Place 42,Post 6,District 10,729124,7486042437,State B,RMS 1,12-03-2025,18,16-09-2020,Pending,Hannah Adams,Vedavahini 4,6227688848,Net Banking
Frank White,Address 73,Location 7,Place 26,Post 2,District 8,733730,6810175766,State A,RMS 1,31-03-2022,48,01-02-2025,Pending,Bob Brown,Vedavahini 3,6842327921,Cash
Eva Green,Address 58,Location 3,Place 2,Post 5,District 5,751807,8386194394,State D,RMS 1,23-11-2025,7,13-11-2022,Inactive,Mia Martinez,Vedavahini 1,7356296753,Credit Card
Olivia Anderson,Address 84,Location 20,Place 35,Post 4,District 5,780453,9070074945,State A,RMS 1,19-01-2023,9,21-05-2028,Inactive,Noah Garcia,Vedavahini 2,6593013108,Credit Card
Kelly Miller,Address 77,Location 18,Place 19,Post 1,District 2,796278,8363500953,State A,RMS 1,13-06-2027,6,14-12-2024,Pending,Quinn Lewis,Vedavahini 5,6478865316,Cash
Isaac Scott,Address 30,Location 7,Place 25,Post 10,District 3,828853,9416268722,State C,RMS 1,02-09-2027,37,06-07-2025,Pending,Jane Smith,Vedavahini 2,8244321008,Credit Card
Mia Martinez,Address 83,Location 10,Place 6,Post 4,District 7,835920,9889283446,State C,RMS 1,13-03-2021,52,05-04-2028,Inactive,Mia Martinez,Vedavahini 3,8101974195,Cash
Quinn Lewis,Address 96,Location 1,Place 18,Post 6,District 1,849603,9358158591,State C,RMS 1,08-05-2020,7,20-11-2027,Inactive,Eva Green,Vedavahini 3,8387978959,Debit Card
Jane Smith,Address 31,Location 10,Place 46,Post 5,District 3,862682,6698776685,State B,RMS 1,27-09-2021,30,25-10-2024,Pending,Frank White,Vedavahini 5,7286268906,Cash
Mia Martinez,Address 63,Location 9,Place 38,Post 4,District 6,871740,6493374817,State A,RMS 1,01-10-2026,58,04-05-2027,Inactive,Isaac Scott,Vedavahini 5,7255334939,Cash
Kelly Miller,Address 82,Location 10,Place 42,Post 5,District 3,884281,7404290593,State B,RMS 1,25-07-2024,26,28-03-2023,Pending,Frank White,Vedavahini 3,9379937752,Net Banking
Quinn Lewis,Address 60,Location 18,Place 22,Post 3,District 1,916455,8221272753,State E,RMS 1,23-04-2022,7,22-03-2026,Pending,Bob Brown,Vedavahini 5,8589462888,Debit Card
Bob Brown,Address 6,Location 6,Place 9,Post 3,District 10,923978,8898065604,State D,RMS 1,26-07-2027,4,11-10-2024,Inactive,Bob Brown,Vedavahini 1,9683977511,Credit Card
Mia Martinez,Address 15,Location 3,Place 6,Post 3,District 4,933854,9077294145,State C,RMS 1,17-06-2020,59,16-05-2025,Active,Grace Hall,Vedavahini 1,7415981392,Credit Card
