NAME,ADDRESS,LOCATION,PLACE,POST,DISTRICT,PIN,PHONE,STATE,RMS,FROM DATE,DURATION(M),CLOSING DATE,STATUS,INTRODUCER NAME,INTRODUCER VEDAVAHINI,INTRODUCER PHONE NO.,PAYMENT MODE
Hannah Adams,Address 48,Location 11,Place 8,Post 9,District 8,156852,9248729252,State D,RMS 1,05-03-2028,4,2024-11-16,Inactive,Isaac Scott,Vedavahini 2,7497641047,Cash
Alice Johnson,Address 90,Location 13,Place 39,Post 9,District 8,229918,9204689794,State A,RMS 1,28-08-2022,49,2028-04-24,Inactive,Frank White,Vedavahini 2,9687756189,Credit Card
Isaac Scott,Address 91,Location 18,Place 3,Post 2,District 3,267803,9672749101,State B,RMS 1,28-12-2026,37,2027-06-11,Active,Olivia Anderson,Vedavahini 3,6946695891,Cash
Hannah Adams,Address 7,Location 6,Place 50,Post 6,District 2,274619,9915520146,State B,RMS 1,17-01-2025,57,2027-02-12,Active,Eva Green,Vedavahini 3,7372373521,Net Banking
Charlie Davis,Address 60,Location 12,Place 30,Post 10,District 8,339085,9140207607,State C,RMS 1,15-11-2023,16,2026-01-07,Active,Isaac Scott,Vedavahini 4,8190290387,Credit Card
Olivia Anderson,Address 54,Location 14,Place 19,Post 8,District 8,466431,6866905371,State B,RMS 1,08-04-2020,45,2027-08-31,Active,Liam Thompson,Vedavahini 2,6232513371,Credit Card
Kelly Miller,Address 57,Location 9,Place 2,Post 2,District 5,550154,6821260063,State C,RMS 1,24-07-2023,28,2028-08-04,Inactive,Jack Taylor,Vedavahini 5,9214221607,Cash
Jack Taylor,Address 85,Location 8,Place 37,Post 1,District 4,574361,6628113559,State E,RMS 1,20-02-2022,3,2025-06-30,Inactive,Jack Taylor,Vedavahini 4,7412417472,Debit Card
Grace Hall,Address 29,Location 3,Place 36,Post 8,District 1,622076,7292872057,State B,RMS 1,14-12-2027,16,2027-09-16,Pending,John Doe,Vedavahini 2,7929330752,Credit Card
Charlie Davis,Address 71,Location 14,Place 18,Post 6,District 10,688309,8372179907,State D,RMS 1,11-01-2022,12,2025-02-25,Pending,Charlie Davis,Vedavahini 4,9735296300,Credit Card
Frank White,Address 73,Location 7,Place 26,Post 2,District 8,733730,6810175766,State A,RMS 1,31-03-2022,48,2025-02-01,Pending,Bob Brown,Vedavahini 3,6842327921,Cash
Olivia Anderson,Address 84,Location 20,Place 35,Post 4,District 5,780453,9070074945,State A,RMS 1,19-01-2023,9,2028-05-21,Inactive,Noah Garcia,Vedavahini 2,6593013108,Credit Card
Kelly Miller,Address 77,Location 18,Place 19,Post 1,District 2,796278,8363500953,State A,RMS 1,13-06-2027,6,2024-12-14,Pending,Quinn Lewis,Vedavahini 5,6478865316,Cash
Isaac Scott,Address 30,Location 7,Place 25,Post 10,District 3,828853,9416268722,State C,RMS 1,02-09-2027,37,2025-07-06,Pending,Jane Smith,Vedavahini 2,8244321008,Credit Card
Mia Martinez,Address 83,Location 10,Place 6,Post 4,District 7,835920,9889283446,State C,RMS 1,13-03-2021,52,2028-04-05,Inactive,Mia Martinez,Vedavahini 3,8101974195,Cash
Quinn Lewis,Address 96,Location 1,Place 18,Post 6,District 1,849603,9358158591,State C,RMS 1,08-05-2020,7,2027-11-20,Inactive,Eva Green,Vedavahini 3,8387978959,Debit Card
Jane Smith,Address 31,Location 10,Place 46,Post 5,District 3,862682,6698776685,State B,RMS 1,27-09-2021,30,2024-10-25,Pending,Frank White,Vedavahini 5,7286268906,Cash
Mia Martinez,Address 63,Location 9,Place 38,Post 4,District 6,871740,6493374817,State A,RMS 1,01-10-2026,58,2027-05-04,Inactive,Isaac Scott,Vedavahini 5,7255334939,Cash
Quinn Lewis,Address 60,Location 18,Place 22,Post 3,District 1,916455,8221272753,State E,RMS 1,23-04-2022,7,2026-03-22,Pending,Bob Brown,Vedavahini 5,8589462888,Debit Card
Mia Martinez,Address 15,Location 3,Place 6,Post 3,District 4,933854,9077294145,State C,RMS 1,17-06-2020,59,2025-05-16,Active,Grace Hall,Vedavahini 1,7415981392,Credit Card
Frank White,Address 14,Location 19,Place 26,Post 9,District 1,117857,8973312238,State C,RMS 2,25-08-2027,43,2024-12-05,Active,Olivia Anderson,Vedavahini 2,7293519417,Cash
